publication,author,date,year,month,day,reason,state_arc
ADULT COLORING BOOK FOR RELAXATION: CALMING MANDALAS AND PATTERNS FOR ADULTS. ,,2017-10-04 00:00:00,2017,10.0,4,,fl
"ADULT COLORING BOOK- OF-LOVE: AND ASSORTMENT OF HEARTS, ANIMALS, FLOWERS, TREES, AND OTHER CUTE PICTURES. ",,2018-09-12 00:00:00,2018,9.0,12,,fl
ADULT COLORING BOOK STRESS RELIEVING ANIMAL DESIGNS (NEW & EXPANDED).  ,,2018-08-22 00:00:00,2018,8.0,22,,fl
ADULT COLORING BOOK STRESS RELIEVING ANIMAL DESIGNS. NEW AND EXPANDED EDITION. ,,2020-09-10 00:00:00,2020,9.0,10,,fl
"ADULT COLORING BOOK STRESS RELIEVING DESIGNS ANIMAL, MANDALAS, FLOWERS, PAISKEY PATTERNS AND SO MUCH MORE.  ",,2018-09-12 00:00:00,2018,9.0,12,,fl
ADULT COLORING BOOK STRESS RELIEVING DOLPHINS PATTERNS. ,,2018-09-12 00:00:00,2018,9.0,12,,fl
ADULT COLORING BOOK STRESS RELIEVING: 110 ANIMAL DESIGNS. ,,2020-06-04 00:00:00,2020,6.0,4,,fl
ADULT COLORING BOOK -TATTOO- VOL. 2.,,2019-10-09 00:00:00,2019,10.0,9,,fl
ADULT COLORING BOOK. 60 STRESS RELIEVING ANIMALS DESIGNS. ,,2021-05-20 00:00:00,2021,5.0,20,,fl
ADULT COLORING BOOK. NEW EDITION. ,,2018-04-05 00:00:00,2018,4.0,5,,fl
ADULT COLORING BOOK. STRESS RELIEVING PATTERNS. ,,2018-04-05 00:00:00,2018,4.0,5,,fl
ADULT COLORING BOOK: ALICE IN WONDERLAND COLORING BOOK FOR ADULTS.,,2021-10-07 00:00:00,2021,10.0,7,,fl
ADULT COLORING BOOK: STRESS RELIEVING ANIMAL DESIGNS. ,,2015-09-09 00:00:00,2015,9.0,9,,fl
ADULT COLORING BOOK: STRESS RELIEVING ANIMAL DESIGNS. ,,2019-08-28 00:00:00,2019,8.0,28,,fl
ADULT COLORING BOOK: STRESS RELIEVING DESIGNS. ADULT COLORING BOOK PATTERNS.,,2015-10-14 00:00:00,2015,10.0,14,,fl
ADULT COLORING BOOKS: BUTTERFLIES & FLOWERS STRESS RELIEVING PATTERNS. ,,2018-08-22 00:00:00,2018,8.0,22,,fl
"ADULT COLORING INSPIRATIONAL QUOTES, RELAX AND REWIND.  ",,2018-09-26 00:00:00,2018,9.0,26,,fl
ADULT MOVIE SUPERSTARS ,,2012-11-30 00:00:00,2012,11.0,30,,fl
