AvyYear,YYYY,MM,DD,Location,Trigger,D Size,Setting,State,lat,lon,PrimaryActivity,TravelMode,Killed,Description,Date
2017,2017,1,4,"Near Crystal Mountain, south of Greenwater",,,BC,WA,46.93807,-121.50192,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, partially buried, and killed",1/4/17
2017,2016,12,27,West of White Pass Ski Area,,,BC,WA,46.63541,-121.39051,Sidecountry Rider,Ski,1,"1 sidecountry rider caught, killed",12/27/16
2017,2016,12,23,East of Grand Targee Resort,,,BC,WY,43.777267,-110.9207,Sidecountry Rider,Foot,1,"1 sidecountry rider caught, buried and killed",12/23/16
2017,2016,12,11,"Henderson Mountain, near Cooke City",,,BC,MT,45.05133,-109.94499,Hybrid Tourer,Ski,1,"2 hybrid tourers caught, 1 partially buried, 1 buried and",12/11/16
2017,2016,12,10,Mt. Rose Chutes - Closed Area,,,SA-closed terrain,NV,39.319495,-119.882984,Inbounds Rider,Ski,1,"1 inbounds rider caught, buried, and killed",12/10/16
2016,2016,4,11,"Summit Lake area, Eastern Alaska Range",,,BC,AK,63.13543,-145.54688,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, killed",4/11/16
2016,2016,4,3,"Summit Lake area, Eastern Alaska Range",,,BC,AK,63.13287,-145.51838,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried, 1 buried and killed",4/3/16
2016,2016,3,22,Cat Ski Mount Bailey,,,SA,OR,43.15673,-122.21706,Mechanized Guide,Ski,1,"Mechanised guide caught, killed",3/22/16
2016,2016,3,8,"Chief Joseph Peak, Wallowa Mountains",,,BC,OR,45.38254,-117.23099,Backcountry Tourer,Ski,1,1 backcountry tourer partially buried-critical and killed,3/8/16
2016,2016,2,27,Nelchina Glacier area,,,BC,AK,61.9341,-147.16324,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, killed",2/27/16
2016,2016,2,26,Island Park,,,TN,ID,44.50079,-111.33665,Resident,Foot,1,"3 residents buried, 1 killed",2/26/16
2016,2016,2,21,Grand Targhee Resort,,,BC,WY,43.78727,-110.95917,Sidecountry Rider,Foot,1,1 sidecountry rider killed in cornice fall,2/21/16
2016,2016,2,19,Big Horn Mountains near Sheridan Wyoming,,,BC,WY,44.61589,-107.38586,Snowmobiler,Snowmobile,1,1 snowmobiler caught and killed,2/19/16
2016,2016,2,5,"Cottonwood Pass, west of Buena Vista",,,BC,CO,38.78811,-106.38731,Snowbiker,Snowbike,1,"1 snow bike rider, caught, partially buried-critical, and killed",2/5/16
2016,2016,2,2,"Lost Mine Creek, east of Wolf Creek Pass",,,BC,CO,37.49201,-106.70106,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried, 1 fully buried and killed",2/2/16
2016,2016,1,31,"Willow Draw near Park City Mountain Resort, Utah",,,BC,UT,40.68023,-111.59942,Sidecountry Rider,Ski,1,"1 sidecountry rider, caught, buried and killed",1/31/16
2016,2016,1,31,Twin Lakes near Brundage Mountain,,,BC,ID,45.02176,-116.12926,Snowmobiler,Snowmobile,1,1 snowmobiler caught and killed,1/31/16
2016,2016,1,24,"Mt Herman, northeast of Mount Baker",,,BC,WA,48.86637,-121.7029,Backcountry Tourer,Foot,1,"2 backcountry tourers caught, 1 injured, 1 killed",1/24/16
2016,2016,1,24,"Rock Springs drainage, south of Jackson Hole Mountain Resort",,,BC,WY,43.59215,-110.87834,Sidecountry Rider,Ski,2,"3 sidecountry riders caught, 2 buried and killed",1/24/16
2016,2016,1,23,"Swede Creek area, Whitefish Range",,,BC,MT,48.65633,-114.55822,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried not-critical, 1 buried and killed.",1/23/16
2016,2016,1,22,"Red Mountain, Clear Creek County",,,BC,CO,39.75178,-105.83877,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, killed",1/22/16
2016,2016,1,21,"Gobblers Knob, Big Cottonwood Canyon",,,BC,UT,40.66633,-111.68551,Backcountry Tourer,Ski,1,"2 backcountry tourers caught, 1 partially buried, 1 buried",1/21/16
2016,2016,1,21,"Ruby Peak, Ruby Range west of Crested Butte",,,BC,CO,38.89564,-107.12571,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried uninjured, 1 fully buried and killed",1/21/16
2016,2016,1,19,"Pyramid Peak, Teton Range",,,BC,WY,43.58226,-110.8263,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, buried, and killed",1/19/16
2016,2016,1,19,"Cedar Basin, west of Big Sky",,,BC,MT,45.2674,-111.29631,Backcountry Tourer,Ski,1,1 backcountry tourer caught and killed,1/19/16
2016,2016,1,16,"Skyscraper Mountain, Hatcher Pass",,,BC,AK,61.77334,-149.30763,Backcountry Tourer,Snowboard,1,1 backcountry snowboarder fully buried and killed,1/16/16
2016,2016,1,16,"St Marys Lake, Front Range",,,BC,CO,39.8328,-105.64831,Climber,Foot,1,"1 climber caught, buried, killed.",1/16/16
2016,2016,1,14,Backcountry near Sugar Bowl Ski Resort,,,BC,CA,39.31398,-120.3389,Sidecountry Rider,Ski,1,"1 sidecountry rider caught, killed",1/14/16
2016,2016,1,2,"Grubstake Gulch, southwest of Hatcher Pass",,,BC,AK,61.76959,-149.31244,Snowmobiler,Snowmobile,1,1 snowmobiler buried and killed,1/2/16
2016,2015,12,31,Granite Mountain near Snoqualmie Pass,,,BC,WA,47.42748,-121.41789,Hiker,Snowshoe,1,1 hiker killed,12/31/15
2016,2015,12,19,"Kendall Peak, Snoqualmie Pass",,,BC,WA,47.4395,-121.3841,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, killed",12/19/15
2016,2015,12,19,"Sheep Mountain, north of Cooke City",,,BC,MT,45.0719,-109.92765,Snowmobiler,Snowmobile,1,"3 snowmoiblers caught, 1 fully buried and killed",12/19/15
2016,2015,11,22,"Eldorado Bowl, Hatcher Pass",,,BC,AK,61.78027,-149.289121,Backcountry Tourer,,1,"1 backcountry tourer caught, buried, and killed",11/22/15
2016,2015,11,5,"Mt Russell, John Muir Wilderness",,,BC,CA,36.59012,-118.29052,Hiker,Foot,1,"1 hiker caught, buried, and killed",11/5/15
2015,2015,5,17,"Sickle Couloir, Mount Moran",,,BC,WY,43.840977,-110.76783,Backcountry Tourer,Ski,2,"4 backcountry tourers caught, 1 injured, 2 killed",5/17/15
2015,2015,4,11,"Beehive Peak, northern Madison Range",,,BC,MT,45.34349,-111.39699,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, killed",4/11/15
2015,2015,4,1,"North of Tebay Lakes, Wrangell-St. Elias National Park and Preserve",,,BC,AK,61.257718,-144.316144,Backcountry Tourer,Ski,1,1 backcountry tourer killed in cornice collapse,4/1/15
2015,2015,3,14,"Alaska - Squaw Creek, near Cantwell",,,BC,AK,63.236944,-149.298611,Snowmobiler,Foot,1,"1 snowmobiler caught, buried, lated succumbed to injuries",3/14/15
2015,2015,3,4,"Hells Canyon, near Snowbasin Ski Resort",,,BC,UT,41.20948,-111.88039,Sidecountry Rider,Snowboard,1,"1 sidecountry rider caught, buried, and killed",3/4/15
2015,2015,2,23,"Peter Barker path, near Aspen Mountain",,,BC,CO,39.16365,-106.83021,Sidecountry Rider,Ski,1,"1 sidecountry rider caught, buried, and killed",2/23/15
2015,2015,1,6,"Rabbit Ears path, Kendall Mountain",,,BC,CO,37.80219,-107.65048,Backcountry Tourer,Ski,1,"One backcountry skier, caught, carried, partially buried, and killed",1/6/15
